Front,Back,Source
Staatsform der Schweiz?,"Bundesstaat (föderal, Subsidiarität).",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Landessprachen der Schweiz (Anzahl und Namen)?,"Vier: Deutsch, Französisch, Italienisch, Rätoromanisch.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
An welche Länder grenzt die Schweiz?,"Frankreich, Deutschland, Österreich, Liechtenstein, Italien.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Höchster Berg der Schweiz?,Dufourspitze.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie heissen die drei berühmten Berner Alpen-Gipfel?,"Eiger, Mönch, Jungfrau.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Drei grosse Schweizer Flüsse?,"Rhein, Rhone, Aare.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
"Bevölkerung Schweiz (Q3/2024, gerundet)?",9’027’859.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie heisst die Bundes-Legislative?,Bundesversammlung (Nationalrat und Ständerat).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Mitgliederzahl Nationalrat?,200.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Mitgliederzahl Ständerat?,46.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Sitz des Bundesgerichts?,Lausanne.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Aufgaben der Bundesversammlung (kurz)?,"Gesetze erlassen, Budget genehmigen, Bundesrat/Bundesrichter wählen, Oberaufsicht.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Bundespräsident/in 2025?,Karin Keller‑Sutter (FDP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Vizepräsident 2025 (Bundesrat)?,Guy Parmelin (SVP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
EDA: Wer leitet 2025 das EDA?,Ignazio Cassis (FDP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
UVEK: Wer leitet 2025 das UVEK?,Albert Rösti (SVP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
EDI: Wer leitet 2025 das EDI?,Elisabeth Baume‑Schneider (SP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
EJPD: Wer leitet 2025 das EJPD?,Beat Jans (SP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
VBS: Wer leitet 2025 das VBS?,Martin Pfister (Die Mitte).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
EFD: Wer leitet 2025 das EFD?,Karin Keller‑Sutter (FDP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
WBF: Wer leitet 2025 das WBF?,Guy Parmelin (SVP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Drei Kernaufgaben des Bundes?,Landeswährung; Aussenpolitik; Landesverteidigung.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Drei weitere Bundesaufgaben?,Nationalstrassen; Asyl-/Migrationspolitik; Straf- und Zivilgesetzgebung.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Drei Kernaufgaben der Kantone?,Kantonsstrassen; Spitalorganisation; Organisation der Gerichte.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Prinzip der Zuständigkeitsverteilung?,Subsidiaritätsprinzip.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Stimmberechtigung kantonal (Grundvoraussetzungen)?,"Schweizer Bürgerrecht, 18 Jahre, Wohnsitz im Kanton.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Fakultatives Referendum Bund: Unterschriften/Frist?,50’000 in 100 Tagen.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Volksinitiative Bund: Unterschriften?,100’000.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Fakultatives Referendum Kanton Freiburg: Unterschriften/Frist?,6’000 in 90 Tagen.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Kantonale Volksinitiative Freiburg: Unterschriften/Frist?,6’000 in 90 Tagen.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Was ist die Volksmotion (FR)?,Vorstoss an Grossen Rat; mind. 300 Stimmberechtigte; Staatsrat muss Erlassentwurf vorlegen.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Anzahl Mitglieder Grosser Rat (FR)?,110.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Präsidium Grosser Rat 2025 (FR)?,Françoise Savoy.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Anzahl Mitglieder Staatsrat (FR)?,7.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Staatsratspräsident/in 2025 (FR)?,Jean‑François Steiert (SP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Staatsratsvize 2025 (FR)?,Philippe Demierre (SVP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberste kantonale Gerichtsbehörde (FR)?,Kantonsgericht.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wer führt 2025 die RUMI (FR)?,Jean‑François Steiert (SP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer führt 2025 die GSD (FR)?,Philippe Demierre (SVP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer führt 2025 die BKAD (FR)?,Sylvie Bonvin‑Sansonnens (Grüne).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer führt 2025 die ILFD (FR)?,Didier Castella (FDP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer führt 2025 die VWBD (FR)?,Olivier Curty (Die Mitte).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer führt 2025 die FIND (FR)?,Jean‑Pierre Siggen (Die Mitte).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer führt 2025 die SJSD (FR)?,Romain Collaud (FDP).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Verwaltungsbezirke hat FR?,7.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
"Bezirke FR (mit Hauptorten, kurz)?",Saane–Freiburg; Sense–Tafers; Greyerz–Bulle; See–Murten; Glâne–Romont; Broye–Estavayer‑le‑Lac; Vivisbach–Châtel‑St‑Denis.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberamtsperson Bezirk Saane?,Lise‑Marie Graden.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
